date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20011211,1001,0.83,100.65,10.47,3.18,0.39,2,1
20011218,1001,0.0,99.99,10.63,2.77,0.39,2,1
20011225,1001,0.02,100.39,0.41,4.09,0.39,2,1
20020101,1001,0.19,100.81,-0.38,2.17,0.39,2,1
20020108,1001,0.0,100.93,0.47,4.94,0.39,2,1
20020115,1001,0.0,100.77,5.43,3.7,0.39,2,0
20020122,1001,8.44,100.82,9.27,3.71,0.39,2,0
20020129,1001,0.23,100.55,16.5,3.21,0.39,2,0
20020205,1001,7.49,101.3,2.06,3.64,0.39,2,0
20020212,1001,0.0,100.73,5.92,5.23,0.39,2,0
20020219,1001,1.52,100.64,9.75,4.3,0.39,2,1
20020226,1001,0.75,100.4,7.57,2.25,0.39,2,1
20020305,1001,0.0,101.58,4.5,4.3,0.39,2,1
20020312,1001,29.88,99.68,13.91,4.86,0.39,2,1
20020319,1001,2.48,100.19,19.19,4.25,0.39,2,1
20020326,1001,6.06,100.24,15.33,1.9,0.39,2,1
20020402,1001,0.0,99.96,17.34,4.04,0.39,2,1
20020409,1001,5.75,100.61,18.73,6.66,0.39,2,1
20020416,1001,0.0,100.6,22.32,2.71,0.39,2,0
20020423,1001,0.01,100.43,19.25,4.42,0.39,2,1
20020430,1001,14.44,99.77,22.49,5.14,0.39,2,1
20020507,1001,0.01,100.42,26.14,5.56,0.39,2,1
20020514,1001,0.0,100.47,16.51,3.05,0.39,2,1
20020521,1001,0.0,100.84,15.4,3.21,0.39,2,1
20020528,1001,2.58,100.02,24.78,2.97,0.39,2,1
20020604,1001,9.4,100.01,28.04,5.77,0.39,2,1
20020611,1001,0.0,100.08,26.59,3.74,0.39,2,1
20020618,1001,3.99,99.97,25.85,4.08,0.39,2,1
20020625,1001,5.22,100.4,25.44,3.87,0.39,2,1
20020702,1001,4.33,100.38,27.0,2.52,0.39,2,1
20020709,1001,0.21,100.46,28.61,3.44,0.39,2,1
20020716,1001,0.18,100.45,28.17,1.71,0.39,2,1
20020723,1001,1.78,100.33,27.82,2.34,0.39,2,1
20020730,1001,9.55,100.39,26.8,1.92,0.39,2,1
20020806,1001,0.4,99.86,29.67,3.37,0.39,2,1
20020813,1001,0.34,100.28,28.06,4.4,0.39,2,1
20020820,1001,4.74,100.14,27.79,2.23,0.39,2,1
20020827,1001,0.61,99.77,26.59,3.4,0.39,2,1
20020903,1001,0.0,100.18,27.94,2.21,0.39,2,1
20020910,1001,0.0,99.67,26.51,4.74,0.39,2,1
20020917,1001,1.71,100.05,26.77,3.33,0.39,2,1
20020924,1001,9.71,100.22,22.55,3.06,0.39,2,1
20021001,1001,0.0,100.42,24.84,2.75,0.39,2,0
20021008,1001,0.03,100.15,22.13,4.03,0.39,2,0
20021015,1001,16.13,99.49,15.62,1.65,0.39,2,0
20021022,1001,0.04,100.43,18.01,2.94,0.39,2,0
20021029,1001,2.39,99.4,21.83,2.66,0.39,2,0
20021105,1001,21.27,99.44,17.62,5.7,0.39,2,0
20021112,1001,6.65,100.39,13.07,6.18,0.39,2,0
20021119,1001,3.06,100.9,11.51,5.58,0.39,2,0
20021126,1001,0.12,100.68,11.01,4.41,0.39,2,0
20021203,1001,0.17,100.7,9.41,4.11,0.39,2,0
20021210,1001,31.27,100.07,7.26,3.61,0.39,2,0
20021217,1001,0.65,100.37,10.23,3.52,0.39,2,0
20021224,1001,32.1,99.01,14.31,4.3,0.39,2,0
20021231,1001,19.98,99.37,12.47,5.95,0.39,2,0
20030107,1001,0.0,101.22,1.68,3.71,0.39,2,0
20030114,1001,0.0,100.97,3.51,4.8,0.39,2,0
20030121,1001,5.4,100.05,12.95,4.53,0.39,2,0
20030128,1001,0.1,101.13,5.23,5.8,0.39,2,0
20030204,1001,4.4,100.15,7.5,3.95,0.39,2,0
20030211,1001,0.0,100.62,4.64,5.05,0.39,2,0
20030218,1001,0.0,100.84,4.53,4.86,0.39,2,0
20030225,1001,0.94,100.68,8.21,4.59,0.39,2,0
20030304,1001,1.96,99.83,11.0,3.02,0.39,2,0
20030311,1001,0.02,100.33,12.73,4.03,0.39,2,0
20030318,1001,0.44,98.76,17.06,7.2,0.39,2,0
20030325,1001,0.98,100.17,16.22,5.85,0.39,2,0
20030401,1001,0.0,101.07,12.67,3.58,0.39,2,0
20030408,1001,13.21,100.04,16.07,5.09,0.39,2,0
20030415,1001,0.0,100.59,20.09,4.15,0.39,2,0
20030422,1001,0.0,100.06,15.19,2.68,0.39,2,0
20030429,1001,0.02,100.05,21.68,4.3,0.39,2,0
20030506,1001,4.94,99.9,24.42,2.43,0.39,2,0
20030513,1001,0.09,100.42,18.27,4.81,0.39,2,0
20030520,1001,4.95,100.47,22.12,2.55,0.39,2,0
20030527,1001,0.07,100.32,19.16,3.79,0.39,2,0
20030603,1001,16.85,99.4,23.03,2.76,0.39,2,0
20030610,1001,1.47,100.06,25.39,4.32,0.39,2,0
20030617,1001,13.72,100.0,24.75,2.26,0.39,2,0
20030624,1001,0.25,100.22,26.06,3.56,0.39,2,0
20030701,1001,57.15,99.54,23.88,8.49,0.39,2,0
20030708,1001,0.14,100.61,26.89,3.62,0.39,2,0
20030715,1001,0.28,100.36,27.13,3.09,0.39,2,0
20030722,1001,9.66,99.8,25.72,2.48,0.39,2,0
20030729,1001,4.13,99.91,27.09,2.71,0.39,2,0
20030805,1001,18.21,99.86,25.67,1.83,0.39,2,0
20030812,1001,6.86,100.06,23.47,2.42,0.39,2,0
20030819,1001,2.12,100.24,28.3,3.14,0.39,2,0
20030826,1001,0.42,100.23,27.7,2.76,0.39,2,0
20030902,1001,0.57,100.27,26.71,3.51,0.39,2,0
20030909,1001,0.84,100.27,24.67,2.81,0.39,2,0
20030916,1001,0.0,100.23,20.66,5.3,0.39,2,0
20030923,1001,0.0,100.12,20.69,4.08,0.39,2,0
20030930,1001,0.01,100.84,15.38,3.64,0.39,2,0
20031007,1001,3.98,100.19,20.64,2.54,0.39,2,0
20031014,1001,0.49,99.61,18.91,6.95,0.39,2,0
20031021,1001,0.0,100.07,18.54,4.86,0.39,2,0
20031028,1001,0.01,99.46,11.86,4.38,0.39,2,0
20031104,1001,4.05,100.07,21.34,2.36,0.39,2,0
20031111,1001,0.0,100.79,16.2,4.19,0.39,2,0
20031118,1001,36.81,99.51,19.37,4.5,0.39,2,0
20031125,1001,0.0,100.38,4.38,4.73,0.39,2,0
20031202,1001,0.0,101.38,6.46,3.84,0.39,2,0
20031209,1001,5.64,100.1,10.51,3.75,0.39,2,0
20031216,1001,7.73,100.2,8.27,4.35,0.39,2,0
20031223,1001,16.02,99.95,11.77,3.5,0.39,2,0
20031230,1001,0.17,101.01,5.34,2.69,0.39,2,0
20040106,1001,0.01,101.59,1.32,2.03,0.39,2,0
20040113,1001,0.0,101.06,7.83,4.78,0.39,2,0
20040120,1001,0.15,100.69,-0.33,3.65,0.39,2,0
20040127,1001,0.09,100.29,4.39,3.55,0.39,2,0
20040203,1001,0.22,100.74,5.2,2.05,0.39,2,0
20040210,1001,1.76,100.77,8.17,4.76,0.39,2,0
20040217,1001,0.01,101.39,6.28,5.09,0.39,2,0
20040224,1001,4.21,99.66,11.52,3.44,0.39,2,0
