date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20020806.0,1015.0,0.84,98.25,28.85,3.54,0.2014,1.0,1
20111004.0,1031.0,0.0,101.15,18.85,4.37,0.4781,1.0,1
20030729.0,1023.0,7.37,100.69,26.88,3.33,0.1418,2.0,0
20030715.0,1013.0,0.1,100.75,27.42,3.93,0.5155,3.0,0
20050215.0,1041.0,0.19,100.64,14.94,4.0,0.1571,2.0,0
20040323.0,1091.0,0.0,102.15,9.4,4.61,0.248,1.0,0
20140204.0,1131.0,5.34,100.64,12.71,5.4,0.4208,1.0,1
20150519.0,1013.0,3.95,100.68,25.92,1.94,0.5155,3.0,1
20161213.0,1049.0,1.6,98.28,10.07,2.84,0.3013,1.0,1
20020611.0,1039.0,0.19,100.53,27.62,2.87,0.4612,3.0,1
20080422.0,1001.0,0.0,100.06,20.24,4.51,0.39,2.0,1
20090310.0,1119.0,0.0,101.03,19.16,2.93,0.5154,1.0,1
20041214.0,1035.0,0.0,102.14,1.78,3.01,0.0485,2.0,0
20070116.0,1051.0,3.36,100.9,4.89,1.21,0.5967,1.0,1
20050628.0,1113.0,14.77,100.16,25.31,2.55,0.2785,1.0,0
20160726.0,1009.0,0.01,99.24,29.79,3.1,0.4062,1.0,1
20150728.0,1083.0,1.17,98.61,29.64,2.8,0.2003,1.0,0
20060613.0,1089.0,0.07,98.46,22.51,1.84,0.3696,3.0,1
20131203.0,1083.0,0.09,97.93,11.81,3.32,0.2003,1.0,0
20001205.0,1027.0,0.0,99.56,1.86,3.17,0.424,3.0,1
20001226.0,1027.0,0.6,99.98,0.57,3.11,0.424,3.0,1
20081125.0,1057.0,0.0,100.49,5.14,3.01,0.0596,2.0,1
20110426.0,1093.0,18.19,98.46,21.15,2.9,0.1357,1.0,0
20120612.0,1111.0,0.71,98.41,25.1,2.25,0.1377,1.0,1
20130903.0,1089.0,0.72,98.49,24.8,2.1,0.3696,3.0,0
20000328.0,1007.0,0.0,98.98,13.78,4.63,0.5104,1.0,1
